sample_id,subject_id,label
Fold1_part1/Fold1_part1/02/0.mov,02,alert
Fold1_part1/Fold1_part1/02/10.MOV,02,drowsy
Fold1_part1/Fold1_part1/02/5.MOV,02,low_vigilance
Fold3_part2/Fold3_part2/34/0.mov,34,alert
Fold3_part2/Fold3_part2/34/10.mp4,34,drowsy
Fold3_part2/Fold3_part2/34/5.mov,34,low_vigilance
Fold4_part1/Fold4_part1/37/0.mov,37,alert
Fold4_part1/Fold4_part1/37/10.mov,37,drowsy
Fold4_part1/Fold4_part1/37/5.mov,37,low_vigilance
Fold1_part1/Fold1_part1/01/0.mov,01,alert
Fold1_part1/Fold1_part1/01/10.MOV,01,drowsy
Fold1_part1/Fold1_part1/01/5.mov,01,low_vigilance
Fold2_part2/Fold2_part2/21/0.MOV,21,alert
Fold2_part2/Fold2_part2/21/10.MOV,21,drowsy
Fold2_part2/Fold2_part2/21/5.MOV,21,low_vigilance
Fold2_part2/Fold2_part2/24/0.mp4,24,alert
Fold2_part2/Fold2_part2/24/10.mp4,24,drowsy
Fold2_part2/Fold2_part2/24/5.mp4,24,low_vigilance
Fold2_part1/Fold2_part1/15/0.mp4,15,alert
Fold2_part1/Fold2_part1/15/10.mp4,15,drowsy
Fold2_part1/Fold2_part1/15/5.mp4,15,low_vigilance
Fold2_part1/Fold2_part1/13/0.mp4,13,alert
Fold2_part1/Fold2_part1/13/10.mp4,13,drowsy
Fold2_part1/Fold2_part1/13/5.mp4,13,low_vigilance
Fold1_part2/Fold1_part2/08/0.mp4,08,alert
Fold1_part2/Fold1_part2/08/10.mp4,08,drowsy
Fold1_part2/Fold1_part2/08/5.mp4,08,low_vigilance
Fold3_part1/Fold3_part1/29/0.mp4,29,alert
Fold3_part1/Fold3_part1/29/10.mp4,29,drowsy
Fold3_part1/Fold3_part1/29/5.mp4,29,low_vigilance
Fold4_part2/Fold4_part2/45/0.mp4,45,alert
Fold4_part2/Fold4_part2/45/10.mp4,45,drowsy
Fold4_part2/Fold4_part2/45/5.mp4,45,low_vigilance
Fold4_part2/Fold4_part2/48/0.MOV,48,alert
